indice_tiempo,par_origen_destino,viajes,asientos,pasajeros
2019,Ciudad Autonoma De Buenos Aires - Navarro,93,2800,2477
2019,Ciudad Autonoma De Buenos Aires - Necochea,84,3914,3156
2019,Ciudad Autonoma De Buenos Aires - Olavarria,66,2415,1777
2019,Ciudad Autonoma De Buenos Aires - Oran,86,5042,3457
2019,Ciudad Autonoma De Buenos Aires - Pacheco,137,3313,2728
2019,Ciudad Autonoma De Buenos Aires - Parana,133,5340,3960
2019,Ciudad Autonoma De Buenos Aires - Pehuajo,132,2464,1330
2019,Ciudad Autonoma De Buenos Aires - Pergamino,170,3568,2504
2019,Ciudad Autonoma De Buenos Aires - Perito Moreno,81,3483,2077
2019,Ciudad Autonoma De Buenos Aires - Pilar,628,19723,16066
2019,Ciudad Autonoma De Buenos Aires - Pinamar,206,8679,7383
2019,Ciudad Autonoma De Buenos Aires - Puerto Iguazu,150,8794,7746
2019,Ciudad Autonoma De Buenos Aires - Quilmes,62,2798,2184
2019,Ciudad Autonoma De Buenos Aires - Ramos Mejia,80,2013,1679
2019,Ciudad Autonoma De Buenos Aires - Rauch,64,1346,767
2019,Ciudad Autonoma De Buenos Aires - Rosario,1326,49499,40402
2019,Ciudad Autonoma De Buenos Aires - Saladillo,1378,27523,17392
2019,Ciudad Autonoma De Buenos Aires - Salta,669,38506,32577
2019,Ciudad Autonoma De Buenos Aires - Salto,1016,19151,10803
2019,Ciudad Autonoma De Buenos Aires - San Andres De Giles,57,1938,1597
2019,Ciudad Autonoma De Buenos Aires - San Antonio De Areco,681,18583,12656
2019,Ciudad Autonoma De Buenos Aires - San Bernardo,517,29352,26693
2019,Ciudad Autonoma De Buenos Aires - San Carlos De Bariloche,164,9363,8083
2019,Ciudad Autonoma De Buenos Aires - San Clemente,206,10472,9266
2019,Ciudad Autonoma De Buenos Aires - San Isidro,72,2417,1925
2019,Ciudad Autonoma De Buenos Aires - San Luis,49,2314,1818
2019,Ciudad Autonoma De Buenos Aires - San Miguel,97,3689,2938
2019,Ciudad Autonoma De Buenos Aires - San Miguel De Tucuman,59,2455,1918
2019,Ciudad Autonoma De Buenos Aires - San Miguel Del Monte,1201,23707,12724
2019,Ciudad Autonoma De Buenos Aires - San Nicolas,707,31194,27331
2019,Ciudad Autonoma De Buenos Aires - San Pedro,1430,40884,30248
2019,Ciudad Autonoma De Buenos Aires - San Rafael,198,11059,9351
2019,Ciudad Autonoma De Buenos Aires - San Salvador De Jujuy,734,42072,38820
2019,Ciudad Autonoma De Buenos Aires - Santa Fe,185,7681,6152
2019,Ciudad Autonoma De Buenos Aires - Santa Rosa,55,2644,2079
2019,Ciudad Autonoma De Buenos Aires - Santa Teresita,205,10874,9387
2019,Ciudad Autonoma De Buenos Aires - Santiago Del Estero,139,7693,6040
2019,Ciudad Autonoma De Buenos Aires - Sierra De La Ventana,97,4789,3631
2019,Ciudad Autonoma De Buenos Aires - Tandil,911,46309,38552
2019,Ciudad Autonoma De Buenos Aires - Termas De Rio Hondo,232,12985,11481
2019,Ciudad Autonoma De Buenos Aires - Tigre,428,16955,13549
2019,Ciudad Autonoma De Buenos Aires - Tortuguitas,145,3362,2996
2019,Ciudad Autonoma De Buenos Aires - Trenque Lauquen,152,3559,2153
2019,Ciudad Autonoma De Buenos Aires - Veronica,75,3154,2491
2019,Ciudad Autonoma De Buenos Aires - Victoria,49,1979,1410
2019,Ciudad Autonoma De Buenos Aires - Villa Atamisqui,62,3713,2986
2019,Ciudad Autonoma De Buenos Aires - Villa Carlos Paz,777,44727,40090
2019,Ciudad Autonoma De Buenos Aires - Villa Gesell,257,11213,9137
2019,Ciudad Autonoma De Buenos Aires - Villa Giardino,61,3414,2994
2019,Ciudad Autonoma De Buenos Aires - Zarate,166,6814,4565
2019,Ciudad Mendoza - Villa Carlos Paz,57,3420,3269
2019,Clorinda - Ciudad Autonoma De Buenos Aires,86,4962,4609
2019,Colon - Ciudad Autonoma De Buenos Aires,165,5213,4239
2019,Colon - Rosario,81,1590,1248
2019,Comodoro Rivadavia - Ciudad Autonoma De Buenos Aires,60,2692,2349
2019,Comodoro Rivadavia - Las Heras,48,2448,3261
2019,Comodoro Rivadavia - Perito Moreno,286,14090,8573
2019,Comodoro Rivadavia - Puerto San Julian,126,4993,3057
2019,Concepcion Del Uruguay - Ciudad Autonoma De Buenos Aires,140,4726,4185
2019,Concordia - Ciudad Autonoma De Buenos Aires,619,25240,19907
2019,Concordia - Lomas De Zamora,48,2352,1812
2019,Concordia - Rosario,60,2156,1721
2019,Concordia - Villa Carlos Paz,52,2909,2495
2019,Cordoba - Ciudad Autonoma De Buenos Aires,2224,106900,92834
2019,Cordoba - Flores,186,7913,7295
2019,Cordoba - La Plata,61,3072,2906
2019,Cordoba - La Rioja,57,2436,1850
2019,Cordoba - Las Lenas,90,3868,3385
2019,Cordoba - Mar Del Plata,103,5398,4737
2019,Cordoba - Mendoza,150,7622,6663
2019,Cordoba - Merlo,103,5552,4743
2019,Cordoba - Oran,225,11378,7751
2019,Cordoba - Parana,64,3214,2760
2019,Cordoba - Rosario,227,11097,9178
2019,Cordoba - Salta,258,13604,12181
2019,Cordoba - San Fernando Del Valle De Catamarca,72,3112,2270
2019,Cordoba - San Juan,78,3656,2967
2019,Cordoba - San Miguel De Tucuman,82,3700,3120
2019,Cordoba - Sol De Julio,120,1800,1250
2019,Cordoba - Termas De Rio Hondo,348,20079,17573
2019,Cordoba - Villa Mercedes,67,3220,2557
2019,Corrientes - Ciudad Autonoma De Buenos Aires,233,12497,11076
2019,Corrientes - Formosa,171,8622,6839
2019,Corrientes - Resistencia,84,3408,2707
2019,Corrientes - Salta,90,4948,4207
2019,Crespo - Ciudad Autonoma De Buenos Aires,55,2719,2039
2019,Cutral Co - Ciudad Autonoma De Buenos Aires,117,5419,4570
2019,Del Viso - Ciudad Autonoma De Buenos Aires,116,2970,1711
