indice_tiempo,par_origen_destino,viajes,asientos,pasajeros
2019,Comodoro Rivadavia-Los Antiguos,264,13650,5809
2019,Comodoro Rivadavia-Mar Del Plata,316,18536,23366
2019,Comodoro Rivadavia-Neuquén,401,16297,18508
2019,Comodoro Rivadavia-Perito Moreno,83,4170,2390
2019,Comodoro Rivadavia-San Carlos De Bariloche,365,21545,18812
2019,Concepcion Del Uruguay-Córdoba,77,4468,4816
2019,Concepcion Del Uruguay-Rosario,288,16180,9753
2019,Concepcion Del Uruguay-Santa Fe,1002,57270,58423
2019,Concordia-Ciudad Autónoma De Buenos Aires,142,6092,4913
2019,Concordia-Florencio Varela,196,8182,5826
2019,Coronel Suarez-Ciudad Autónoma De Buenos Aires,346,14854,8974
2019,Corrientes-Ciudad Autónoma De Buenos Aires,1058,61107,58830
2019,Corrientes-Córdoba,926,41918,41917
2019,Corrientes-Florencio Varela,74,4338,3356
2019,Corrientes-Formosa,1970,137627,65220
2019,Corrientes-Gualeguaychu,352,20420,26345
2019,Corrientes-Ingeniero Budge,448,25818,23978
2019,Corrientes-Paso De Los Libres,244,13435,7734
2019,Corrientes-Reconquista,508,33028,20972
2019,Corrientes-Rosario,879,50433,45445
2019,Corrientes-Salta,918,47861,47811
2019,Corrientes-Villa Carlos Paz,203,8984,9617
2019,Costa Atlantica-Ciudad Autónoma De Buenos Aires,59,1141,679
2019,Crespo-Ciudad Autónoma De Buenos Aires,707,40380,29289
2019,Cruz Del Eje-Ciudad Autónoma De Buenos Aires,345,19329,14790
2019,Cruz Del Eje-San Nicolas,264,14739,9745
2019,Curuzu Cuatia-Ciudad Autónoma De Buenos Aires,355,20594,17818
2019,Córdoba-Ceres,316,19584,9381
2019,Córdoba-Chilecito,359,20213,16864
2019,Córdoba-Ciudad Autónoma De Buenos Aires,5086,245821,255284
2019,Córdoba-Colon,80,4256,3136
2019,Córdoba-Concepcion Del Uruguay,80,4627,3514
2019,Córdoba-Corrientes,975,44236,44640
2019,Córdoba-Fiambala,142,7817,1558
2019,Córdoba-Frias,374,19601,10546
2019,Córdoba-La Banda,1098,54931,36080
2019,Córdoba-La Rioja,1810,98270,68631
2019,Córdoba-Mar Del Plata,828,48123,41995
2019,Córdoba-Mendoza,4121,226290,217187
2019,Córdoba-Monte Caseros,354,20359,28753
2019,Córdoba-Orán,65,3508,1944
2019,Córdoba-Paraná,1617,92333,57653
2019,Córdoba-Paso De Los Libres,91,5409,5370
2019,Córdoba-Posadas,390,17566,18193
2019,Córdoba-Puerto Iguazú,922,41667,39087
2019,Córdoba-Punta Alta,441,24895,23061
2019,Córdoba-Resistencia,219,12839,11699
2019,Córdoba-Rosario,1349,74428,59110
2019,Córdoba-Salta,1735,86042,70222
2019,Córdoba-Salvador Mazza,1211,69848,72085
2019,Córdoba-San Carlos De Bariloche,87,4112,2077
2019,Córdoba-San Fernando Del Valle De Catamarca,2102,113133,81249
2019,Córdoba-San Jorge,308,14766,12793
2019,Córdoba-San Juan,1316,75031,51422
2019,Córdoba-San Luis,351,20025,16319
2019,Córdoba-San Martin De Los Andes,150,6300,4114
2019,Córdoba-San Miguel De Tucumán,2559,133724,114739
2019,Córdoba-San Rafael,414,23273,21337
2019,Córdoba-San Salvador De Jujuy,1902,71163,51147
2019,Córdoba-Santa Fe,712,40404,33021
2019,Córdoba-Saujil,329,19352,18333
2019,Córdoba-Schaqui,357,20706,17323
2019,Córdoba-Sumampa,48,2241,874
2019,Córdoba-Sunchales,86,4721,2040
2019,Daireaux-Ciudad Autónoma De Buenos Aires,255,10723,8536
2019,Dominique-Clorinda,73,3815,4140
2019,Dominique-Puerto Iguazú,120,5930,6275
2019,Eduardo Castex-Ciudad Autónoma De Buenos Aires,270,10291,6928
2019,El Calafate-San Carlos De Bariloche,95,4297,4870
2019,El Chocon-Mendoza,306,12900,11368
2019,Esquel-La Plata,312,11244,13943
2019,Esquel-La Quiaca,998,48271,47057
2019,Esquel-San Carlos De Bariloche,1331,63630,51670
2019,Esquel-San Salvador De Jujuy,426,25134,35669
2019,Ezeiza-Formosa,770,33450,33717
2019,Ezeiza-La Plata,68,1276,525
2019,Ezeiza-Mar Del Plata,487,28076,11312
2019,F-Juan Bautista Alberdi,59,3522,2446
2019,F-Roque Saenz Peña,75,4453,3139
2019,Federacion-Ciudad Autónoma De Buenos Aires,1090,62322,47405
2019,Federacion-Rosario,340,19297,18636
2019,Federal-Ciudad Autónoma De Buenos Aires,205,10999,7948
2019,Fiambala-Caleta Olivia,55,3105,766
2019,Fiambala-Córdoba,139,7645,1820
2019,Fiambala-San Fernando Del Valle De Catamarca,757,41957,26180
2019,Firmat-Ciudad Autónoma De Buenos Aires,55,3033,2898
2019,Florencio Varela-Clorinda,787,46629,15939
2019,Florencio Varela-Concordia,351,14692,10486
2019,Florencio Varela-Corrientes,81,4744,3797
2019,Florencio Varela-General Pinedo,278,16458,7069
2019,Florencio Varela-Juan Bautista Alberdi,789,40598,25277
2019,Florencio Varela-Juan Jose Castelli,312,18244,5129
2019,Florencio Varela-Resistencia,309,18050,13020
2019,Florencio Varela-Roque Saenz Peña,1667,92753,62272
2019,Florencio Varela-San Miguel De Tucumán,342,20391,13193
2019,Florencio Varela-San Pedro,642,38040,14266
2019,Florencio Varela-Tres Isletas,663,39819,18567
2019,Florencio Varela-Viedma,151,6510,4683
2019,Formosa-Ciudad Autónoma De Buenos Aires,899,41546,39437
2019,Formosa-Corrientes,1976,138008,65617
2019,Formosa-Ezeiza,758,32628,33474
2019,Formosa-La Plata,326,11880,10758
2019,Formosa-Mendoza,402,23055,33099
2019,Formosa-Salta,380,21739,18566
2019,Frias-Córdoba,351,18360,8479
2019,Frias-San Fernando Del Valle De Catamarca,895,39479,24492
2019,Garupa-Bernardo De Irigoyen,131,7336,2013
2019,Garupa-La Cruz,180,10118,13031
2019,Garupa-La Plata,212,11792,11876
2019,Garupa-Paso De Los Libres,355,19826,25874
2019,Garupa-Puerto Iguazú,193,11324,5400
2019,Garupa-Resistencia,382,22492,13106
2019,Garupa-Santo Tome,614,35421,26847
2019,General Campos-Ciudad Autónoma De Buenos Aires,328,18814,11026
2019,General Lamadrid-Ciudad Autónoma De Buenos Aires,325,13975,16016
2019,General Pico-Ciudad Autónoma De Buenos Aires,1211,51770,51105
2019,General Pinedo-Florencio Varela,292,17290,9023
2019,General Pinedo-La Plata,330,19462,15178
2019,General Roca-San Carlos De Bariloche,392,23004,22266
2019,General Rodriguez-Ciudad Autónoma De Buenos Aires,71,1349,919
2019,General Viamonte-Ciudad Autónoma De Buenos Aires,125,5262,3219
2019,General Villegas-Ciudad Autónoma De Buenos Aires,870,50821,37521
2019,Goya-Ciudad Autónoma De Buenos Aires,728,32414,29292
2019,Goya-Posadas,275,16056,6935
2019,Gualeguay-Ciudad Autónoma De Buenos Aires,86,3700,2235
2019,Gualeguaychu-Ciudad Autónoma De Buenos Aires,748,41037,31273
2019,Gualeguaychu-Corrientes,352,20416,22583
2019,Gualeguaychu-Ingeniero Budge,1055,61113,41886
2019,Gualeguaychu-Resistencia,364,21112,27811
2019,Gualeguaychu-Rosario,712,41171,27617
2019,Gualeguaychu-Santa Fe,559,32876,28071
2019,Gualeguaychu-Zarate,57,2513,1620
2019,Hernandarias-Ciudad Autónoma De Buenos Aires,94,5188,4039
2019,Huanguelen-Ciudad Autónoma De Buenos Aires,348,20080,13835
2019,Ibicuy-Zarate,656,37853,8799
2019,Ingeniero Budge-Clorinda,1110,65140,75258
2019,Ingeniero Budge-Corrientes,457,26379,24778
2019,Ingeniero Budge-Gualeguaychu,1102,63962,40666
2019,Ingeniero Budge-Juan Bautista Alberdi,989,59266,34009
2019,Ingeniero Budge-Pampa De Los Guanacos,291,17252,7346
2019,Ingeniero Budge-Puente Loyola,404,23882,7770
2019,Ingeniero Budge-Resistencia,1323,51314,43995
2019,Ingeniero Budge-Roque Saenz Peña,573,33286,22865
2019,Ingeniero Budge-San Vicente,359,21510,15426
2019,Ingeniero Budge-Santiago Del Estero,74,4305,2104
2019,Ingeniero Luiggi-Ciudad Autónoma De Buenos Aires,307,16086,14668
2019,Itati-Resistencia,362,17288,8248
2019,Ituzaingo-Ciudad Autónoma De Buenos Aires,303,17147,15965
2019,Ituzaingo-Posadas,396,23134,9167
2019,Jacinto Arauz-Ciudad Autónoma De Buenos Aires,306,16478,11103
2019,Jardin America-San Miguel De Tucumán,456,21741,13010
2019,Jovita-Ciudad Autónoma De Buenos Aires,325,14009,8129
2019,Juan Bautista Alberdi-Berazategui,358,20776,13703
2019,Juan Bautista Alberdi-Ciudad Autónoma De Buenos Aires,614,34995,27367
2019,Juan Bautista Alberdi-Ciudadela,344,20036,12103
2019,Juan Bautista Alberdi-Florencio Varela,1032,51694,34069
2019,Juan Bautista Alberdi-Ingeniero Budge,672,40348,28569
2019,Juan Jose Castelli-Ciudad Autónoma De Buenos Aires,659,38177,36713
2019,Juan Jose Castelli-Florencio Varela,289,16900,5879
2019,Juan Jose Castelli-Rafael Castillo,51,2964,2148
2019,Junin-Ciudad Autónoma De Buenos Aires,899,38210,26530
2019,Junin-Rosario,1323,66403,66607
2019,La Banda-Córdoba,836,42873,31721
2019,La Banda-San Miguel De Tucumán,969,54046,26401
2019,La Cruz-Paso De Los Libres,218,12178,5563
2019,La Cruz-Posadas,301,16717,21432
2019,La Falda-Ciudad Autónoma De Buenos Aires,843,46412,38322
2019,La Falda-La Plata,1099,51711,43417
2019,La Lucila-Ciudad Autónoma De Buenos Aires,67,3604,3122
2019,La Plata-Aguas Blancas,55,3142,2578
2019,La Plata-Andresito,702,31243,26106
2019,La Plata-Caleta Olivia,470,19207,24849
2019,La Plata-Capilla Del Monte,998,50087,37693
2019,La Plata-Ciudad Autónoma De Buenos Aires,193,6770,5524
2019,La Plata-Esquel,332,12008,13443
2019,La Plata-Ezeiza,80,1626,761
2019,La Plata-Formosa,348,12636,11751
2019,La Plata-General Pinedo,329,19411,15248
2019,La Plata-La Falda,1161,54942,46084
2019,La Plata-Las Lomitas,1659,95469,90581
2019,La Plata-Mendoza,871,49442,43407
2019,La Plata-Mercedes,369,13685,11198
2019,La Plata-Merlo,82,4592,4335
2019,La Plata-Monte Caseros,355,20546,16711
2019,La Plata-Neuquén,167,6087,3069
2019,La Plata-Nueva Esperanza,157,9390,3507
2019,La Plata-Paraná,609,35796,25846
