id,duracion11,duracion56,dpi,max_cola_norte,max_cola_sureste1,max_cola_sureste2,throughput,sin_camino,pvc
81,90.000000,60.000000,119.758024,2644.000000,1575.000000,17.000000,2245.500000,0,0.980782
82,75.000000,75.000000,126.043308,3256.000000,687.000000,22.000000,2172.000000,0,0.976399
83,30.000000,90.000000,181.849710,3808.000000,10.000000,1304.000000,1390.500000,0,0.974763
84,75.000000,60.000000,124.914988,2915.000000,1353.000000,17.000000,2165.000000,0,0.981637
85,45.000000,75.000000,146.609684,4097.000000,20.000000,523.000000,1805.500000,0,0.973840
86,45.000000,90.000000,157.381710,3724.000000,11.000000,755.000000,1667.500000,0,0.974292
87,90.000000,75.000000,122.721065,2908.000000,977.000000,22.000000,2167.500000,0,0.983439
88,60.000000,90.000000,137.933335,3465.000000,24.000000,198.000000,1915.500000,0,0.977047
89,60.000000,75.000000,130.625787,3654.000000,113.000000,29.000000,2025.500000,0,0.973564
90,75.000000,90.000000,130.947442,3057.000000,172.000000,28.000000,2096.500000,0,0.982658
91,30.000000,90.000000,182.526115,3789.000000,9.000000,1316.000000,1408.500000,0,0.969374
92,90.000000,90.000000,126.816282,3157.000000,575.000000,34.000000,2150.500000,0,0.979727
93,45.000000,75.000000,142.332291,3759.000000,21.000000,541.000000,1809.500000,0,0.974421
94,75.000000,75.000000,119.899665,3129.000000,473.000000,23.000000,2124.000000,0,0.980836
95,45.000000,90.000000,158.192500,3617.000000,12.000000,889.000000,1664.000000,0,0.967723
96,90.000000,75.000000,123.917497,3321.000000,1037.000000,20.000000,2164.000000,0,0.982074
97,60.000000,90.000000,138.287023,3199.000000,49.000000,164.000000,1931.500000,0,0.981204
98,60.000000,75.000000,129.459085,3495.000000,112.000000,27.000000,2033.500000,0,0.980945
99,30.000000,90.000000,180.752878,3780.000000,15.000000,1269.000000,1435.000000,0,0.971893
100,75.000000,90.000000,126.733241,3536.000000,50.000000,30.000000,2095.500000,0,0.980122
101,45.000000,75.000000,145.686998,3953.000000,16.000000,545.000000,1834.000000,0,0.975532
102,90.000000,90.000000,128.768808,2955.000000,553.000000,26.000000,2127.500000,1,0.979061
103,45.000000,90.000000,155.196603,3589.000000,18.000000,784.000000,1722.000000,0,0.971783
104,75.000000,75.000000,124.330309,3423.000000,671.000000,22.000000,2135.000000,0,0.979807
105,30.000000,90.000000,184.390049,3781.000000,9.000000,1314.000000,1397.000000,0,0.964113
106,90.000000,75.000000,124.478199,2924.000000,1105.000000,19.000000,2208.500000,0,0.978295
107,60.000000,90.000000,139.613569,3551.000000,28.000000,187.000000,1878.000000,0,0.976345
108,60.000000,75.000000,123.806751,3480.000000,32.000000,28.000000,2048.000000,0,0.980139
109,75.000000,90.000000,122.792838,2970.000000,43.000000,29.000000,2081.500000,0,0.982999
110,45.000000,90.000000,155.266636,3569.000000,18.000000,784.000000,1687.500000,0,0.973745
111,45.000000,75.000000,141.873850,3913.000000,21.000000,501.000000,1791.500000,0,0.977893
112,90.000000,90.000000,123.550277,2940.000000,279.000000,27.000000,2145.500000,0,0.980352
113,30.000000,90.000000,182.581137,3593.000000,12.000000,1342.000000,1426.000000,0,0.971059
114,75.000000,75.000000,127.450816,3400.000000,647.000000,23.000000,2187.000000,0,0.977867
115,60.000000,90.000000,138.011149,3486.000000,37.000000,234.000000,1879.500000,0,0.976617
116,90.000000,75.000000,127.972379,3023.000000,1173.000000,21.000000,2152.000000,0,0.981752
117,60.000000,75.000000,134.679701,3741.000000,122.000000,36.000000,2058.500000,0,0.980472
118,75.000000,90.000000,126.166962,3203.000000,84.000000,29.000000,2077.500000,0,0.980647
119,45.000000,90.000000,157.024794,3520.000000,13.000000,840.000000,1652.000000,0,0.971193
120,90.000000,90.000000,120.049970,2884.000000,319.000000,28.000000,2117.000000,0,0.979186
121,60.000000,90.000000,138.362876,3491.000000,25.000000,146.000000,1911.500000,0,0.976501
122,75.000000,75.000000,131.039069,3158.000000,879.000000,23.000000,2129.500000,0,0.982242
123,90.000000,75.000000,127.006901,3134.000000,1176.000000,21.000000,2190.500000,0,0.982507
124,75.000000,90.000000,132.823300,3382.000000,261.000000,32.000000,2051.500000,0,0.981344
125,90.000000,90.000000,124.165507,3082.000000,265.000000,28.000000,2174.000000,0,0.982821
