id,duracion11,duracion56,dpi,max_cola_norte,max_cola_sureste1,max_cola_sureste2,throughput,pvc
27,45.000000,45.000000,33.056790,7.000000,4.000000,4.000000,581.500000,0.996572
28,90.000000,30.000000,32.339975,3.000000,8.000000,2.000000,592.000000,0.997473
29,30.000000,60.000000,41.551253,11.000000,3.000000,6.000000,592.000000,0.989967
30,75.000000,45.000000,33.885678,5.000000,5.000000,5.000000,591.500000,0.994954
31,30.000000,45.000000,35.574257,7.000000,2.000000,4.000000,605.500000,0.989379
32,45.000000,60.000000,40.648333,10.000000,3.000000,7.000000,596.000000,0.992506
33,75.000000,30.000000,30.198527,5.000000,5.000000,1.000000,586.000000,0.993220
34,30.000000,30.000000,30.372535,5.000000,2.000000,3.000000,584.500000,0.989839
35,60.000000,45.000000,34.722179,8.000000,5.000000,4.000000,569.000000,0.998246
36,90.000000,45.000000,34.983614,6.000000,6.000000,5.000000,591.500000,0.991618
37,90.000000,30.000000,32.331954,3.000000,6.000000,2.000000,560.000000,0.992908
38,75.000000,45.000000,34.115697,8.000000,5.000000,4.000000,575.000000,0.993950
39,45.000000,30.000000,29.642196,6.000000,5.000000,2.000000,585.500000,0.995748
40,60.000000,30.000000,29.981963,3.000000,5.000000,2.000000,564.000000,0.990342
41,30.000000,60.000000,42.506345,12.000000,3.000000,4.000000,595.500000,0.994987
42,45.000000,45.000000,34.194685,6.000000,3.000000,4.000000,596.500000,0.994167
43,30.000000,45.000000,35.976416,9.000000,3.000000,4.000000,606.000000,0.994258
44,45.000000,60.000000,40.390334,10.000000,3.000000,6.000000,596.000000,0.995823
45,30.000000,30.000000,30.793758,6.000000,3.000000,3.000000,616.500000,0.995961
46,75.000000,30.000000,31.943010,4.000000,6.000000,2.000000,592.500000,0.994128
47,60.000000,45.000000,35.265584,8.000000,5.000000,3.000000,609.500000,0.992671
48,90.000000,45.000000,34.368213,7.000000,7.000000,3.000000,596.500000,0.993339
49,75.000000,45.000000,34.033511,6.000000,5.000000,5.000000,607.500000,0.992647
50,90.000000,30.000000,32.352635,4.000000,7.000000,2.000000,585.500000,0.993215
51,45.000000,30.000000,29.603511,4.000000,5.000000,2.000000,591.000000,0.999155
