duracion11,duracion56,dpi_mean,dpi_std,max_cola_global_mean,max_cola_global_max,cola_promedio_mean,max_cola_norte_mean,max_cola_sureste1_mean,max_cola_sureste2_mean,throughput_mean,pvc_mean,n,score_dpi,score_cola,score_cola_prom,score_throughput,score_pvc,score_final
75.0,45.0,103.42674400000001,2.580736719922145,1309.4,1359.0,604.6666666666667,488.4,1309.4,16.2,2409.7,0.98292,5,0.21906099025151013,0.45311622683885466,0.4010335917312663,0.01085106382978751,0.13160685154975194,0.29870980676669606
75.0,90.0,107.309022,3.6707013107938233,1284.0,1405.0,448.4666666666667,1284.0,32.6,28.8,2174.4,0.9837118,5,0.2790420925823378,0.4352891633913532,0.19922480620155045,0.2611702127659574,0.07778684067427533,0.29984326123593086
30.0,45.0,110.7631782,3.6151785927452043,1228.2,1502.0,417.6,1228.2,11.8,12.8,2008.2,0.9796792,5,0.332408723333372,0.3961257720381809,0.15934539190353147,0.43797872340425537,0.35188961392060947,0.34125527973139114
60.0,30.0,102.9108806,1.580432338436799,1586.0,1657.0,626.9333333333334,290.2,1586.0,4.6,2369.1,0.9836867999999999,5,0.2110909130483501,0.6472487366647951,0.4298018949181741,0.05404255319148954,0.07948613376835933,0.3676874846808943
45.0,60.0,109.1469666,3.2153642844284827,1394.6,1514.0,480.0,1394.6,26.4,19.0,2112.0,0.9803642,5,0.30743829273363876,0.512914093206064,0.23996554694229114,0.3275531914893618,0.3053289831430096,0.37103446994679484
90.0,45.0,105.53829780000001,4.422842082712218,1561.4,1655.0,631.4666666666667,323.0,1561.4,10.0,2376.5,0.9810502,5,0.25168444600476847,0.6299831555306009,0.43565891472868223,0.04617021276595756,0.25870038064165235,0.3918353347872041
60.0,75.0,108.7656006,7.579221511849836,1572.8,1809.0,541.0,1572.8,23.4,26.8,2145.0,0.9787357999999999,5,0.3015461971465895,0.6379842784952274,0.3187769164513351,0.2924468085106384,0.41601413811854593,0.4324209887479252
60.0,90.0,118.06580979999998,3.4825277423181715,1476.4,1814.0,538.6666666666667,1476.4,21.0,118.6,2020.8,0.9792669999999999,5,0.44523420705296557,0.5703256597417182,0.3157622739018089,0.42457446808510657,0.3799075584556887,0.46099678676484185
75.0,30.0,101.6188724,2.213189423544744,2054.4,2175.0,760.0,220.6,2054.4,5.0,2400.9,0.983212,5,0.19112941723159801,0.9759966311061203,0.6017226528854436,0.02021276595744681,0.11175910821098356,0.5023932314062811
90.0,30.0,101.3516358,2.38484868889322,2088.6,2163.0,761.1333333333333,190.0,2088.6,4.8,2410.7,0.9827472,5,0.18700061814736377,1.0,0.6031869078380706,0.009787234042553439,0.14335236541598184,0.5118921815657733
45.0,75.0,120.25740479999999,4.815485928894163,1726.8,2001.0,744.0,1726.8,19.8,485.4,1921.5,0.9770614,5,0.4790942974335955,0.7460696238068502,0.5810508182601206,0.5302127659574469,0.5298259923871682,0.5980141561359559
30.0,60.0,127.1473792,3.006927154741481,1754.2,1885.0,782.2666666666667,1754.2,10.2,582.4,1777.5,0.9751396,5,0.5855442372738607,0.7653003930376194,0.6304909560723514,0.6834042553191491,0.6604540511147362,0.6724778827995662
45.0,90.0,130.024612,2.644805045173756,1724.0,1930.0,824.4666666666666,1724.0,18.6,730.8,1775.2,0.974905,5,0.6299974152807973,0.7441044357102752,0.6850129198966407,0.6858510638297872,0.6764002175095143,0.6884128432012618
30.0,75.0,144.3849804,7.3187438222074,1995.0,2220.0,1068.2666666666667,1995.0,12.0,1197.8,1603.6,0.9732106,5,0.8518647639118812,0.9343065693430658,1.0,0.8684042553191491,0.7915715062533961,0.898564304600892
30.0,90.0,153.9730364,2.388561783378396,1903.4,1963.0,1049.0,1903.4,7.8,1235.8,1479.9,0.9701442,5,1.0,0.8700168444693993,0.9751076658053403,1.0,1.0,0.9507720454350906
